1.2300	1.6049	1.6630	1.7299	1.7129	1.7130	1.4140
1.0889	1.4389	1.4689	1.5159	1.4569	1.2821	1.3250
1.0289	1.3631	1.3890	1.4320	1.3461	1.1820	1.2249
0.9879	1.3559	1.3751	1.3931	1.2880	1.1220	1.2239
0.9879	1.3439	1.3611	1.3909	1.2331	1.0961	1.1240
1.1050	1.3890	1.4140	1.4310	1.1911	1.1059	1.0191
1.3729	1.5699	1.6040	1.6140	1.1570	1.1710	0.9989
1.6649	1.7750	1.8009	1.8170	1.1700	1.2751	0.9989
1.7900	2.0180	2.0739	2.0998	1.2139	1.4121	0.9790
2.1569	2.1900	2.2301	2.2260	1.3370	1.5450	1.0150
2.3230	2.3359	2.3649	2.3810	1.4799	1.7110	1.1271
2.3659	2.3630	2.3990	2.3741	1.5740	1.7410	1.2271
2.3731	2.3359	2.3580	2.3021	1.5951	1.7129	1.2950
2.2311	2.1560	2.2000	2.1459	1.5771	1.6200	1.3130
2.1560	2.0799	2.1231	2.0581	1.5629	1.5570	1.2909
2.2080	2.1651	2.1749	2.0809	1.5320	1.5831	1.2600
2.2949	2.2551	2.2049	2.1651	1.5440	1.6251	1.2669
2.3741	2.3671	2.3349	2.2380	1.6380	1.6251	1.3631
2.5000	2.4770	2.4640	2.2820	1.7310	1.8950	1.4530
2.4340	2.4310	2.3780	2.1540	1.7480	1.9040	1.6020
2.3560	2.3540	2.4140	2.1020	1.7921	1.9310	1.6440
2.0000	2.2100	2.0040	1.9950	1.8321	1.9360	1.6150
1.9890	1.7085	1.8582	1.9040	1.8620	1.9580	1.5030
1.8080	1.7000	1.7071	1.8590	1.7930	1.7480	1.4990
